what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549301881
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549317072
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231549321431
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549321702
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549328652
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231549331189
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549331692
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549334994
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231549337821
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549338991
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549353444
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231549358069
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1231549358118
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549358744
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549358882
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549369131
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549369342
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549369346
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549392035
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1231549392840
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549397132
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549398902
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549399035
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549399874
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549399974
