what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1231549220851
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1231549222113
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1231549222149
started,bundle,com.sun.jna,3.0.9,com.sun.jna,1231549224894
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231549225078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549230175
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549238194
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1231549239238
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231549240656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549241815
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549247001
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549249680
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549251194
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549258889
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549283694
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549284565
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549284667
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1231549286838
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1231549286865
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1231549286868
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549287165
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549287166
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549287255
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1231549298893
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231549298924
